ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
4187,13222140,15523,2,30,1125,67.03,0,0,29,59,89,364,25,0,0,0,0.2,4.8,5,4.9,4.9,4.9,4.8,4.9
4188,13222669,5955262,2,30,90,114.97,13796,120,9,18,48,323,62,2,0,2,0.51,4.9,4.9,5,5,5,4.7,4.9
4189,13231566,69545272,1,30,1000,65.27,0,0,0,8,8,80,46,0,0,0,0.38,4.7,4.8,4.3,4.9,4.9,4.9,4.7
4190,13234457,2868,2,30,1125,90.63,0,0,0,13,43,318,2,0,0,0,0.02,4,5,3,5,2,5,5
4191,13235951,74330820,2,30,1125,,,0,0,0,0,0,36,0,0,0,0.3,4.9,4.9,4.8,4.9,5,4.7,4.9
4192,13236366,3491890,4,30,1125,,,240,0,0,0,0,20,4,0,5,0.17,5,5,4.8,5,5,4.9,4.9
4193,13237190,31460662,2,30,1125,,,0,0,0,0,0,11,0,0,0,0.09,4.9,4.9,5,5,5,5,5
4194,13239693,27652670,4,30,1125,,,0,0,0,0,0,12,0,0,0,0.1,5,5,4.4,5,5,5,5
4195,13240737,74397192,1,30,1125,,,0,0,0,0,0,162,0,0,0,1.33,4.9,4.9,4.8,5,5,5,4.8
4196,13246042,278393,1,30,1125,67.6,16224,240,0,13,43,318,194,4,0,3,1.6,4.7,4.8,4.7,4.8,4.9,4.7,4.8
4197,13246278,6787564,6,30,200,,,0,0,0,0,1,7,0,0,0,0.07,4,4.3,3.4,4.7,4.9,4.6,4.1
4198,13248968,15985137,3,30,1125,,,0,0,0,0,0,55,0,0,0,0.45,4.6,4.9,4.4,4.9,5,4.8,4.7
